name,From,To,Pos,Ht,Wt,Birth Date,College,player_headshot,player_id
Gene Rhodes,1953,1953,G,6-1,170,1927-09-2,Western Kentucky University,,3285
Rodrick Rhodes,1998,2000,G-F,6-6,225,1973-09-24,University of Southern California,,3286
Glen Rice,1990,2004,F,6-7,215,1967-05-28,University of Michigan,,3287
Glen Rice,2014,2015,G,6-6,206,1991-01-1,Georgia Institute of Technology,,3288
Chris Richard,2008,2010,F,6-9,270,1984-12-25,University of Florida,,3289
Clint Richardson,1980,1987,G,6-3,195,1956-08-7,Seattle University,,3290
Jason Richardson,2002,2015,G,6-6,220,1981-01-20,Michigan State University,"static/useful_pics/Jason Richardson.png",3291
Jeremy Richardson,2007,2009,G-F,6-6,185,1984-02-11,Delta State University,"static/useful_pics/Jeremy Richardson.png",3292
Josh Richardson,2016,2017,G,6-6,200,1993-09-15,University of Tennessee,,3293
Malachi Richardson,2017,2017,G,6-6,205,1996-01-5,Syracuse University,,3294
Micheal Ray Richardson,1979,1986,G-F,6-5,189,1955-04-11,University of Montana,,3295
Norm Richardson,2002,2002,G,6-5,190,1979-07-24,Hofstra University,,3296
Pooh Richardson,1990,1999,G,6-1,180,1966-05-14,"University of California, Los Angeles",,3297
Quentin Richardson,2001,2013,G,6-6,223,1980-04-13,DePaul University,"static/useful_pics/Quentin Richardson.png",3298
Mitch Richmond,1989,2002,G,6-5,215,1965-06-30,Kansas State University,,3299
John Richter,1960,1960,F,6-9,225,1937-03-12,North Carolina State University,,3300
Dick Ricketts,1956,1958,F-C,6-7,215,1933-12-4,Duquesne University,,3301
Isaiah Rider,1994,2002,G,6-5,215,1971-03-12,"University of Nevada, Las Vegas",,3302
Jackie Ridgle,1972,1972,G,6-4,195,1948-02-13,University of California,,3303
Luke Ridnour,2004,2015,G,6-2,175,1981-02-13,University of Oregon,"static/useful_pics/Luke Ridnour.png",3304
Mel Riebe,1947,1949,G-F,5-11,180,1916-07-12,College of Wooster,,3305
Bob Riedy,1968,1968,F,6-6,215,1945-08-26,Duke University,,3306
Jim Riffey,1951,1951,F,6-4,200,1923-12-14,Tulane University,,3307
Antoine Rigaudeau,2003,2003,G,6-7,210,1971-12-17,,,3308
Tom Riker,1973,1975,C-F,6-10,225,1950-02-28,University of South Carolina,,3309
Bob Riley,1971,1971,F,6-9,235,1948-07-6,Mount St. Mary's University,,3310
Eric Riley,1994,1999,C,7-0,245,1970-06-2,University of Michigan,,3311
Pat Riley,1968,1976,G-F,6-4,205,1945-03-20,University of Kentucky,,3312
Ron Riley,1973,1976,F,6-8,195,1950-11-11,University of Southern California,,3313
Rich Rinaldi,1972,1974,G,6-3,195,1949-08-3,Saint Peter's College,,3314
Mike Riordan,1969,1977,G-F,6-4,200,1945-07-9,Providence College,,3315
Arnie Risen,1949,1958,C-F,6-9,200,1924-10-9,Ohio State University,,3316
Tex Ritter,1949,1951,G-F,6-2,185,1924-02-26,Eastern Kentucky University,,3317
Ramon Rivas,1989,1989,F-C,6-10,260,1966-06-3,Temple University,,3318
Austin Rivers,2013,2017,G,6-4,200,1992-08-1,Duke University,"static/useful_pics/Austin Rivers.png",3319
David Rivers,1989,1992,G,6-0,170,1965-01-20,University of Notre Dame,,3320
Doc Rivers,1984,1996,G,6-4,185,1961-10-13,Marquette University,,3321
Lee Robbins,1948,1949,F,6-3,175,1922-02-11,University of Colorado,,3322
Red Robbins,1968,1975,F-C,6-8,190,1944-09-30,University of Tennessee,,3323
Andre Roberson,2014,2017,G-F,6-7,210,1991-12-4,University of Colorado,,3324
Anthony Roberson,2006,2009,G,6-2,180,1983-02-14,University of Florida,"static/useful_pics/Anthony Roberson.png",3325
Rick Roberson,1970,1976,C-F,6-9,231,1947-07-7,University of Cincinnati,,3326
Terrance Roberson,2001,2001,F,6-7,215,1976-12-30,"California State University, Fresno",,3327
Anthony Roberts,1978,1984,F-G,6-5,185,1955-04-15,Oral Roberts University,,3328
Bill Roberts,1949,1950,C,6-9,210,1925-03-13,University of Wyoming,,3329
Brian Roberts,2013,2017,G,6-1,173,1985-12-3,University of Dayton,"static/useful_pics/Brian Roberts.png",3330
Fred Roberts,1984,1997,F-C,6-10,218,1960-08-14,Brigham Young University,,3331
Joe Roberts,1961,1968,F,6-6,214,1936-05-18,Ohio State University,,3332
Lawrence Roberts,2006,2007,F,6-9,240,1982-10-20,Mississippi State University,,3333
Marv Roberts,1972,1977,F-C,6-8,200,1950-01-29,Utah State University,,3334
Stanley Roberts,1992,2000,C,7-0,285,1970-02-7,Louisiana State University,,3335
Alvin Robertson,1985,1996,G,6-3,185,1962-07-22,University of Arkansas,,3336
Oscar Robertson,1961,1974,G-F,6-5,205,1938-11-24,University of Cincinnati,,3337
Ryan Robertson,2000,2000,G,6-5,190,1976-10-2,University of Kansas,,3338
Tony Robertson,1978,1979,G,6-4,195,1956-01-1,West Virginia University,,3339
Rick Robey,1979,1986,C-F,6-11,230,1956-01-30,University of Kentucky,,3340
Bernard Robinson,2005,2007,G-F,6-6,210,1980-12-26,University of Michigan,,3341
Chris Robinson,1997,1998,G,6-5,200,1974-04-2,Western Kentucky University,,3342
Cliff Robinson,1980,1992,F,6-9,220,1960-03-13,University of Southern California,,3343
Clifford Robinson,1990,2007,F-C,6-10,225,1966-12-16,University of Connecticut,,3344
David Robinson,1990,2003,C,7-1,235,1965-08-6,United States Naval Academy,,3345
Eddie Robinson,2000,2004,G-F,6-8,210,1976-04-19,University of Central Oklahoma,,3346
Flynn Robinson,1967,1974,G,6-1,185,1941-04-28,University of Wyoming,,3347
Glenn Robinson,1995,2005,F,6-7,225,1973-01-10,Purdue University,,3348
Glenn Robinson,2015,2017,G-F,6-6,222,1994-01-8,University of Michigan,,3349
Jackie Robinson,1979,1982,F,6-6,210,1955-05-20,"University of Nevada, Las Vegas",,3350
Jamal Robinson,2001,2001,F,6-7,212,1973-12-27,University of Virginia,,3351
James Robinson,1994,2001,G,6-2,180,1970-08-31,University of Alabama,,3352
Larry Robinson,1991,2002,F-G,6-3,180,1968-01-11,Centenary College of Louisiana,,3353
Nate Robinson,2006,2016,G,5-9,180,1984-05-31,University of Washington,"static/useful_pics/Nate Robinson.png",3354
Oliver Robinson,1983,1983,G,6-4,180,1960-03-13,University of Alabama at Birmingham,,3355
Ronnie Robinson,1974,1975,F,6-8,200,1951-03-9,University of Memphis,,3356
Rumeal Robinson,1991,1997,G,6-2,195,1966-11-13,University of Michigan,,3357
Samuel Robinson,1971,1972,F,6-7,190,1948-01-1,"California State University, Long Beach",,3358
Thomas Robinson,2013,2017,F,6-10,237,1991-03-17,University of Kansas,"static/useful_pics/Thomas Robinson.png",3359
Truck Robinson,1975,1985,F-C,6-7,225,1951-10-4,Tennessee State University,,3360
Wayne Robinson,1981,1981,F,6-8,217,1958-04-19,Virginia Polytechnic Institute and State University,,3361
Wilbert Robinson,1974,1974,G,6-2,175,1949-12-25,West Virginia University,,3362
Bill Robinzine,1976,1982,F,6-7,230,1953-01-20,DePaul University,,3363
Dave Robisch,1972,1984,C-F,6-10,235,1949-12-22,University of Kansas,,3364
Red Rocha,1948,1957,C-F,6-9,185,1923-09-18,Oregon State University,,3365
John Roche,1972,1982,G,6-3,170,1949-09-26,University of South Carolina,,3366
Gene Rock,1948,1948,G,5-9,155,1921-11-4,University of Southern California,,3367
Jack Rocker,1948,1948,C-F,6-5,185,1922-08-12,University of California,,3368
Guy Rodgers,1959,1970,G,6-0,185,1935-09-1,Temple University,,3369
Dennis Rodman,1987,2000,F,6-7,210,1961-05-13,Southeastern Oklahoma State University,,3370
Sergio Rodriguez,2007,2017,G,6-3,176,1986-06-12,,"static/useful_pics/Sergio Rodriguez.png",3371
Lou Roe,1996,1997,F,6-7,220,1972-07-14,University of Massachusetts Amherst,,3372
Carlos Rogers,1995,2002,C-F,6-11,220,1971-02-6,Tennessee State University,,3373
Harry Rogers,1976,1976,F,6-7,195,1950-12-31,Saint Louis University,,3374
Johnny Rogers,1987,1988,F-C,6-10,225,1963-12-30,"University of California, Irvine",,3375
Marshall Rogers,1977,1977,G,6-1,190,1953-08-27,University of Texas-Pan American,,3376
Rodney Rogers,1994,2005,F,6-7,235,1971-06-20,Wake Forest University,,3377
Roy Rogers,1997,2000,F,6-10,235,1973-08-19,University of Alabama,,3378
Willie Rogers,1969,1969,G-F,6-3,185,1945-09-11,University of Oklahoma,,3379
Al Roges,1954,1955,G-F,6-4,195,1930-10-25,Long Island University,,3380
Ken Rohloff,1964,1964,G,6-0,195,1939-04-18,North Carolina State University,,3381
Kenny Rollins,1949,1953,G,6-0,168,1923-09-14,University of Kentucky,,3382
Phil Rollins,1959,1961,G,6-2,185,1934-01-19,University of Louisville,,3383
Tree Rollins,1978,1995,C,7-1,235,1955-06-16,Clemson University,,3384
Lorenzo Romar,1981,1985,G,6-1,175,1958-11-13,University of Washington,,3385
Rajon Rondo,2007,2017,G,6-1,186,1986-02-22,University of Kentucky,"static/useful_pics/Rajon Rondo.png",3386
Jerry Rook,1970,1970,F,6-5,219,1943-10-27,Arkansas State University,,3387
Sean Rooks,1993,2004,C,6-10,250,1969-09-9,University of Arizona,,3388
Derrick Rose,2009,2017,G,6-3,190,1988-10-4,University of Memphis,"static/useful_pics/Derrick Rose.png",3389
Jalen Rose,1995,2007,G-F,6-8,210,1973-01-30,University of Michigan,,3390
Malik Rose,1997,2009,F,6-7,250,1974-11-23,Drexel University,"static/useful_pics/Malik Rose.png",3391
Rob Rose,1989,1989,G,6-5,180,1964-12-27,George Mason University,,3392
Petey Rosenberg,1947,1947,G,5-10,165,1918-04-7,Saint Joseph's University,,3393
Lennie Rosenbluth,1958,1959,F,6-4,190,1933-01-22,University of North Carolina,,3394
Hank Rosenstein,1947,1947,F,6-4,185,1920-06-16,City College of New York,,3395
Dick Rosenthal,1955,1957,F-G,6-5,205,1930-01-20,University of Notre Dame,,3396
Quinton Ross,2005,2011,G,6-6,195,1981-04-30,Southern Methodist University,"static/useful_pics/Quinton Ross.png",3397
Terrence Ross,2013,2017,F-G,6-7,206,1991-02-5,University of Washington,"static/useful_pics/Terrence Ross.png",3398
Doug Roth,1990,1990,C,6-11,255,1967-08-24,University of Tennessee,,3399
Scott Roth,1988,1990,F,6-8,212,1963-06-3,University of Wisconsin,,3400
Irv Rothenberg,1947,1949,C,6-7,215,1921-12-31,Long Island University,,3401
Mickey Rottner,1947,1948,G,5-10,180,1919-03-23,Loyola University of Chicago,,3402
Dan Roundfield,1976,1987,F-C,6-8,205,1953-05-26,Central Michigan University,,3403
Giff Roux,1947,1949,F-C,6-5,195,1923-06-28,University of Kansas,,3404
Ron Rowan,1987,1987,G,6-5,200,1962-04-23,St. John's University,,3405
Curtis Rowe,1972,1979,F,6-7,225,1949-07-2,"University of California, Los Angeles",,3406
Jim Rowinski,1989,1990,F-C,6-8,250,1961-01-4,Purdue University,,3407
Derrick Rowland,1986,1986,G,6-5,195,1959-06-21,State University of New York at Potsdam,,3408
Brian Rowsom,1988,1990,F,6-9,220,1965-10-23,University of North Carolina at Wilmington,,3409
Brandon Roy,2007,2013,G,6-6,215,1984-07-23,University of Washington,"static/useful_pics/Brandon Roy.png",3410
Donald Royal,1990,1998,F,6-8,210,1966-05-22,University of Notre Dame,,3411
Reggie Royals,1975,1975,C,6-10,200,1950-09-18,Florida State University,,3412
Bob Royer,1950,1950,G,5-10,155,1927-10-15,Indiana State University,,3413
Clifford Rozier,1995,1998,C-F,6-11,245,1972-10-31,University of Louisville,,3414
Terry Rozier,2016,2017,G,6-2,190,1994-03-17,University of Louisville,,3415
Ricky Rubio,2012,2017,G,6-4,194,1990-10-21,,"static/useful_pics/Ricky Rubio.png",3416
Guy Rucker,2003,2003,F-C,6-11,265,1977-07-27,University of Iowa,,3417
Delaney Rudd,1990,1993,G,6-2,180,1962-11-8,Wake Forest University,,3418
John Rudd,1979,1979,F,6-7,230,1955-08-7,McNeese State University,,3419
Damjan Rudez,2015,2017,F,6-10,228,1986-06-17,,,3420
John Rudometkin,1963,1965,F,6-6,205,1940-06-6,University of Southern California,,3421
Michael Ruffin,2000,2009,F,6-9,246,1977-01-21,University of Tulsa,"static/useful_pics/Michael Ruffin.png",3422
Trevor Ruffin,1995,1996,G,6-1,185,1970-09-26,University of Hawaii,,3423
Paul Ruffner,1971,1976,C-F,6-10,225,1948-10-15,Brigham Young University,,3424
Joe Ruklick,1960,1962,F-C,6-9,220,1938-08-3,Northwestern University,,3425
Jeff Ruland,1982,1993,C-F,6-10,240,1958-12-16,Iona College,,3426
Bob Rule,1968,1975,C-F,6-9,220,1944-06-29,Colorado State University,,3427
Jerry Rullo,1947,1950,G,5-10,165,1923-06-23,Temple University,,3428
Stefano Rusconi,1996,1996,C-F,6-9,240,1968-10-2,,,3429
Brandon Rush,2009,2017,G-F,6-6,220,1985-07-7,University of Kansas,"static/useful_pics/Brandon Rush.png",3430
Kareem Rush,2003,2010,G,6-6,215,1980-10-30,University of Missouri,"static/useful_pics/Kareem Rush.png",3431
Bill Russell,1957,1969,C,6-10,215,1934-02-12,University of San Francisco,,3432
Bryon Russell,1994,2006,F,6-7,225,1970-12-31,"California State University, Long Beach",,3433
Campy Russell,1975,1985,F,6-8,215,1952-01-12,University of Michigan,,3434
Cazzie Russell,1967,1978,F-G,6-5,218,1944-06-7,University of Michigan,,3435
D'Angelo Russell,2016,2017,G,6-5,195,1996-02-23,Ohio State University,,3436
Frank Russell,1973,1973,G,6-3,180,1949-04-17,University of Detroit Mercy,,3437
Pierre Russell,1972,1973,F-G,6-4,190,1949-12-13,University of Kansas,,3438
Rubin Russell,1968,1968,G,6-2,180,1944-11-7,University of North Texas,,3439
Walker Russell,1983,1988,G,6-5,195,1960-10-26,Western Michigan University,"static/useful_pics/Walker Russell.png",3440
Walker Russell,2012,2012,G,6-0,170,1982-10-6,Jacksonville State University,"static/useful_pics/Walker Russell.png",3441
Arvydas Sabonis,1996,2003,C,7-3,279,1964-12-19,,,3442
Domantas Sabonis,2017,2017,F,6-11,240,1996-05-3,Gonzaga University,,3443
Robert Sacre,2013,2016,C,7-0,270,1989-06-6,Gonzaga University,"static/useful_pics/Robert Sacre.png",3444
Ed Sadowski,1947,1950,C,6-5,240,1917-07-11,Seton Hall University,,3445
Kenny Sailors,1947,1951,G,5-10,175,1921-01-14,University of Wyoming,,3446
John Salley,1987,2000,F-C,6-11,230,1964-05-16,Georgia Institute of Technology,,3447
John Salmons,2003,2015,G,6-7,210,1979-12-12,University of Miami,"static/useful_pics/John Salmons.png",3448
Al Salvadori,1968,1968,F,6-9,220,1945-05-6,University of South Carolina,,3449
Kevin Salvadori,1997,1998,C,7-0,231,1970-12-30,University of North Carolina,,3450
Soumaila Samake,2001,2003,C,7-0,230,1978-03-18,,,3451
Cheikh Samb,2008,2009,C,7-1,245,1984-10-22,,"static/useful_pics/Cheikh Samb.png",3452
JaKarr Sampson,2015,2016,G-F,6-9,214,1993-03-20,St. John's University,,3453
Jamal Sampson,2003,2007,F-C,6-11,235,1983-05-15,University of California,,3454
Ralph Sampson,1984,1992,C-F,7-4,228,1960-07-7,University of Virginia,,3455
Samardo Samuels,2011,2013,F,6-9,260,1989-01-9,University of Louisville,"static/useful_pics/Samardo Samuels.png",3456
Pepe Sanchez,2001,2003,G,6-4,195,1977-05-8,Temple University,,3457
Al Sanders,1973,1973,F,6-7,240,1950-01-1,Louisiana State University,,3458
Frankie Sanders,1979,1981,F-G,6-6,200,1957-01-23,Southern University and A&M College,,3459
Jeff Sanders,1990,1993,F,6-8,225,1966-01-14,Georgia Southern University,,3460
Larry Sanders,2011,2015,C-F,6-11,235,1988-11-21,Virginia Commonwealth University,"static/useful_pics/Larry Sanders.png",3461
Melvin Sanders,2006,2006,G-F,6-5,210,1981-01-3,Oklahoma State University,,3462
Mike Sanders,1983,1993,F-G,6-6,210,1960-05-7,"University of California, Los Angeles",,3463
Tom Sanders,1961,1973,F,6-6,210,1938-11-8,New York University,,3464
Ron Sanford,1972,1972,F,6-9,215,1946-06-11,University of New Mexico,,3465
Daniel Santiago,2001,2005,C,7-1,256,1976-06-24,Saint Vincent College,,3466
Bob Santini,1956,1956,F,6-5,190,1935-02-17,Iona College,,3467
Wayne Sappleton,1985,1985,F,6-9,215,1960-11-17,Loyola University of Chicago,,3468
Dario Saric,2017,2017,F,6-10,223,1994-04-8,,,3469
Jason Sasser,1997,1999,F,6-7,225,1974-01-13,Texas Tech University,,3470
Jeryl Sasser,2002,2003,G,6-6,200,1979-02-13,Southern Methodist University,,3471
Tomas Satoransky,2017,2017,G,6-7,210,1991-10-30,,,3472
Kenny Satterfield,2002,2003,G,6-2,186,1981-04-10,University of Cincinnati,,3473
Pep Saul,1950,1955,G-F,6-2,185,1924-02-16,Seton Hall University,,3474
Woody Sauldsberry,1958,1966,F-C,6-7,220,1934-07-11,Texas Southern University,,3475
Glynn Saulters,1969,1969,G,6-2,175,1945-02-10,University of Louisiana at Monroe,,3476
Fred Saunders,1975,1978,F,6-7,210,1951-06-13,Syracuse University,,3477
Don Savage,1952,1957,F-G,6-3,205,1928-04-9,LeMoyne College,,3478
Predrag Savovic,2003,2003,G,6-6,225,1976-05-21,University of Hawaii,,3479
Alan Sawyer,1951,1951,F,6-5,195,1928-01-1,"University of California, Los Angeles",,3480
Brian Scalabrine,2002,2012,F,6-9,241,1978-03-18,University of Southern California,"static/useful_pics/Brian Scalabrine.png",3481
Alex Scales,2006,2006,G,6-4,185,1978-07-3,University of Oregon,,3482
DeWayne Scales,1981,1984,F,6-8,208,1958-12-28,Louisiana State University,,3483
Frank Schade,1973,1973,G,6-1,170,1950-01-22,University of Wisconsin-Eau Claire,,3484
Ben Schadler,1948,1948,F,6-0,185,1924-03-9,Northwestern University,,3485
Herm Schaefer,1949,1950,G-F,6-0,175,1918-12-20,Indiana University,,3486
Billy Schaeffer,1974,1976,F,6-5,200,1951-12-11,St. John's University,,3487
Bob Schafer,1956,1957,G,6-3,195,,Villanova University,,3488
Ben Scharnus,1947,1949,F,6-2,173,1917-12-11,Seton Hall University,,3489
Marv Schatzman,1950,1950,F,6-5,200,1927-02-18,Saint Louis University,,3490
Fred Schaus,1950,1954,F,6-5,205,1925-06-30,West Virginia University,,3491
Danny Schayes,1982,1999,C-F,6-11,235,1959-05-10,Syracuse University,,3492
Dolph Schayes,1950,1964,F-C,6-8,220,1928-05-19,New York University,,3493
Ossie Schectman,1947,1947,G,6-0,175,1919-03-30,Long Island University,,3494
Steve Scheffler,1991,1997,C-F,6-9,250,1967-09-3,Purdue University,,3495
Tom Scheffler,1985,1985,C,6-11,240,1954-10-27,Purdue University,,3496
Dave Schellhase,1967,1968,G,6-3,205,1944-10-14,Purdue University,,3497
Luke Schenscher,2006,2007,C,7-1,255,1982-12-31,Georgia Institute of Technology,,3498
Herb Scherer,1951,1952,C,6-9,212,1928-12-21,Long Island University,,3499
Dwayne Schintzius,1991,1999,C,7-1,260,1968-10-14,University of Florida,,3500
Dale Schlueter,1969,1978,C,6-10,225,1945-11-12,Colorado State University,,3501
Otto Schnellbacher,1949,1949,F-G,6-4,185,1923-04-15,University of Kansas,,3502
Dick Schnittker,1951,1958,F,6-5,200,1928-05-27,Ohio State University,,3503
Russ Schoene,1983,1989,F-C,6-10,210,1960-04-16,University of Tennessee at Chattanooga,,3504
Dave Scholz,1970,1970,F,6-8,220,1948-04-12,University of Illinois at Urbana-Champaign,,3505
Milt Schoon,1947,1950,C,6-7,230,1922-02-25,Valparaiso University,,3506
Detlef Schrempf,1986,2001,F-C,6-9,214,1963-01-21,University of Washington,,3507
Dennis Schroder,2014,2017,G,6-1,172,1993-09-15,,,3508
Howie Schultz,1950,1953,C-F,6-6,200,1922-07-3,Hamline University,,3509
Dick Schulz,1947,1950,F-G,6-2,192,1917-01-3,University of Wisconsin,,3510
Roger Schurig,1968,1968,G,6-3,185,1942-04-3,Vanderbilt University,,3511
John Schweitz,1985,1987,G,6-6,210,1960-04-19,University of Richmond,,3512
Luis Scola,2008,2017,F,6-9,240,1980-04-30,,"static/useful_pics/Luis Scola.png",3513
Fred Scolari,1947,1955,G,5-10,180,1922-03-1,University of San Francisco,,3514
Alvin Scott,1978,1985,F-G,6-7,185,1955-09-14,Oral Roberts University,,3515
Brent Scott,1997,1997,F-C,6-10,250,1971-06-15,Rice University,,3516
Byron Scott,1984,1997,G,6-3,195,1961-03-28,Arizona State University,,3517
Charlie Scott,1971,1980,G-F,6-5,175,1948-12-15,University of North Carolina,,3518
Dennis Scott,1991,2000,F,6-8,229,1968-09-5,Georgia Institute of Technology,,3519
James Scott,1997,1997,F,6-6,180,1972-06-6,St. John's University,,3520
Mike Scott,2013,2017,F,6-8,237,1988-07-16,University of Virginia,"static/useful_pics/Mike Scott.png",3521
Ray Scott,1962,1972,F-C,6-9,215,1938-07-12,University of Portland,,3522
Shawnelle Scott,1997,2002,C,6-10,250,1972-06-16,St. John's University,,3523
Willie Scott,1970,1970,F,6-5,210,1947-05-22,Alabama State University,,3524
Paul Scranton,1968,1968,F,6-5,230,1944-04-30,"California State Polytechnic University, Pomona",,3525
Carey Scurry,1986,1988,F,6-7,188,1962-12-4,Long Island University,,3526
Bruce Seals,1974,1978,F,6-8,210,1953-06-18,Xavier University of Louisiana,,3527
Shea Seals,1998,1998,G,6-5,210,1975-08-26,University of Tulsa,,3528
Malik Sealy,1993,2000,G,6-8,190,1970-02-1,St. John's University,,3529
Ed Searcy,1976,1976,F,6-6,210,1952-04-17,St. John's University,,3530
Kenny Sears,1956,1964,F,6-9,198,1933-08-17,Santa Clara University,,3531
Wayne See,1950,1950,G,6-3,190,1923-11-3,Northern Arizona University,,3532
Thabo Sefolosha,2007,2017,G-F,6-7,220,1984-05-2,,"static/useful_pics/Thabo Sefolosha.png",3533
Rony Seikaly,1989,1999,C,6-11,230,1965-05-10,Syracuse University,,3534
Glen Selbo,1950,1950,G-F,6-3,196,1926-03-29,University of Wisconsin,,3535
Josh Selby,2012,2013,G,6-2,183,1991-03-27,University of Kansas,"static/useful_pics/Josh Selby.png",3536
Brad Sellers,1987,1993,C-F,7-0,210,1962-12-17,Ohio State University,,3537
Phil Sellers,1977,1977,F-G,6-4,195,1953-11-20,Rutgers University,,3538
Rollie Seltz,1950,1950,G-F,5-10,165,1924-01-25,Hamline University,,3539
Lester Selvage,1968,1970,G,6-1,175,1943-03-7,Truman State University,,3540
Frank Selvy,1955,1964,G-F,6-3,180,1932-11-9,Furman University,,3541
Jim Seminoff,1947,1950,G-F,6-2,190,1922-09-1,University of Southern California,,3542
Mouhamed Sene,2007,2009,C-F,6-11,230,1986-05-12,,"static/useful_pics/Mouhamed Sene.png",3543
George Senesky,1947,1954,G,6-2,179,1922-04-4,Saint Joseph's University,,3544
Kevin Seraphin,2011,2017,F,6-9,285,1989-12-7,,"static/useful_pics/Kevin Seraphin.png",3545
Ansu Sesay,2002,2005,F,6-9,225,1976-07-29,University of Mississippi,,3546
Ramon Sessions,2008,2017,G,6-3,190,1986-04-11,"University of Nevada, Reno","static/useful_pics/Ramon Sessions.png",3547
Ha Seung-Jin,2005,2006,C,7-3,305,1985-08-4,,,3548
Tom Sewell,1985,1985,G,6-5,185,1962-03-11,Lamar University,,3549
Paul Seymour,1948,1960,G-F,6-1,180,1928-01-30,University of Toledo,,3550
Nick Shaback,1947,1947,G,5-11,180,1918-09-10,,,3551
Lynn Shackelford,1970,1970,F,6-5,190,1947-08-27,"University of California, Los Angeles",,3552
Charles Shackleford,1989,1999,F-C,6-10,225,1966-04-22,North Carolina State University,,3553
Carl Shaeffer,1950,1951,F-G,6-3,185,1924-10-25,University of Alabama,,3554
Lee Shaffer,1962,1964,F,6-7,220,1939-02-23,University of North Carolina,,3555
Mustafa Shakur,2011,2014,G,6-3,190,1984-08-18,University of Arizona,"static/useful_pics/Mustafa Shakur.png",3556
God Shammgod,1998,1998,G,6-0,169,1976-04-29,Providence College,,3557
Earl Shannon,1947,1949,G-F,5-11,170,1921-11-23,University of Rhode Island,,3558
Howie Shannon,1949,1950,G-F,6-2,175,1923-06-10,Kansas State University,,3559
Chuck Share,1952,1960,C,6-11,235,1927-03-14,Bowling Green State University,,3560
Bill Sharman,1951,1961,G,6-1,175,1926-05-25,University of Southern California,,3561
Walter Sharpe,2009,2009,F,6-9,245,1986-07-18,University of Alabama at Birmingham,,3562
John Shasky,1989,1991,C,6-11,235,1964-07-31,University of Minnesota,,3563
Ron Shavlik,1957,1958,F,6-8,200,1933-12-4,North Carolina State University,,3564
Brian Shaw,1989,2003,G,6-6,190,1966-03-22,"University of California, Santa Barbara",,3565
Casey Shaw,1999,1999,C,6-11,260,1975-07-20,University of Toledo,,3566
Bob Shea,1947,1947,F,6-2,194,1924-09-11,University of Rhode Island,,3567
Fred Sheffield,1947,1947,F,6-2,165,1923-11-5,University of Utah,,3568
Craig Shelton,1981,1982,F,6-7,210,1957-05-1,Georgetown University,,3569
Lonnie Shelton,1977,1986,F-C,6-8,240,1955-10-19,Oregon State University,,3570
Tornike Shengelia,2013,2014,F,6-9,217,1991-10-5,,"static/useful_pics/Tornike Shengelia.png",3571
Billy Shepherd,1973,1975,G,5-10,160,1949-11-18,Butler University,,3572
Jeffrey Sheppard,1999,1999,G,6-3,190,1974-09-29,University of Kentucky,,3573
Steve Sheppard,1978,1979,F,6-6,215,1954-03-21,University of Maryland,,3574
Ed Sherod,1983,1983,G,6-2,170,1959-09-13,Virginia Commonwealth University,,3575
Charley Shipp,1950,1950,G-F,6-1,200,1913-12-3,Catholic University of America,,3576
Paul Shirley,2003,2005,F-C,6-10,230,1977-12-23,Iowa State University,,3577
Gene Short,1976,1976,F,6-6,200,1953-08-7,Jackson State University,,3578
Purvis Short,1979,1990,F-G,6-7,210,1957-07-2,Jackson State University,,3579
Dexter Shouse,1990,1990,G,6-2,200,1963-03-24,University of South Alabama,,3580
Dick Shrider,1949,1949,G,6-2,190,1923-02-7,Ohio University,,3581
Gene Shue,1955,1964,G,6-2,170,1931-12-18,University of Maryland,,3582
John Shumate,1976,1981,F-C,6-9,235,1952-04-6,University of Notre Dame,,3583
Iman Shumpert,2012,2017,G,6-5,220,1990-06-26,Georgia Institute of Technology,"static/useful_pics/Iman Shumpert.png",3584
Alexey Shved,2013,2015,G,6-6,190,1988-12-16,,"static/useful_pics/Alexey Shved.png",3585
Pascal Siakam,2017,2017,F,6-9,230,1994-02-4,New Mexico State University,,3586
Sam Sibert,1973,1973,F,6-7,215,1949-02-11,Kentucky State University,,3587
Mark Sibley,1974,1974,G,6-2,175,1950-11-13,Northwestern University,,3588
Jerry Sichting,1981,1990,G,6-1,168,1956-11-29,Purdue University,,3589
Donald Sidle,1969,1972,F-C,6-8,215,1946-06-21,University of Oklahoma,,3590
Larry Siegfried,1964,1972,F,6-3,190,1939-05-22,Ohio State University,,3591
Ralph Siewert,1947,1947,C,7-1,230,1923-12-31,Dakota Wesleyan University,,3592
Jack Sikma,1978,1991,C-F,6-11,230,1955-11-14,Illinois Wesleyan University,,3593
James Silas,1973,1982,G,6-1,180,1949-02-11,Stephen F. Austin State University,,3594
Paul Silas,1965,1980,F-C,6-7,220,1943-07-12,Creighton University,,3595
Xavier Silas,2012,2012,G,6-5,205,1988-01-22,Northern Illinois University,"static/useful_pics/Xavier Silas.png",3596
Garret Siler,2011,2011,C,6-11,305,1986-10-25,Augusta State University,"static/useful_pics/Garret Siler.png",3597
Mike Silliman,1971,1971,F,6-6,225,1944-05-5,United States Military Academy,,3598
Wayne Simien,2006,2007,F,6-9,255,1983-03-9,University of Kansas,,3599
Bobby Simmons,2002,2012,G-F,6-7,210,1980-06-2,DePaul University,"static/useful_pics/Bobby Simmons.png",3600
Cedric Simmons,2007,2009,F,6-9,235,1986-01-3,North Carolina State University,"static/useful_pics/Cedric Simmons.png",3601
